Rel Start (11:07:34.734050),Duration,Address A,Port A,Address B,Port B,Packets,Bytes,Packets A->B,Bytes A->B,Packets A<-B,Bytes A<-B,bps A->B,bps A<-B
222226.207052,0.1393,67.218.116.163,60119,192.168.0.9,http,10,1174,5,540,5,634,31007.53,36405.14
222332.850775,0.1619,207.46.204.189,63651,192.168.0.9,http,7,945,4,440,3,505,21741.55,24953.37
223438.731248,6.9325,146.163.212.55,55443,192.168.0.9,https,25,10704,11,2401,14,8303,2770.71,9581.52
223439.255125,6.4089,146.163.212.55,55445,192.168.0.9,https,17,8027,8,1454,9,6573,1814.97,8204.81
223439.255239,6.4088,146.163.212.55,55446,192.168.0.9,https,17,8491,8,1438,9,7053,1795.02,8804.10
230080.067327,62.7381,24.107.219.145,izm,192.168.0.9,http,35,20149,14,3136,21,17013,399.88,2169.40
230080.521269,62.2841,24.107.219.145,g2tag,192.168.0.9,http,11,1781,6,919,5,862,118.04,110.72
230080.533870,12.3078,24.107.219.145,xgrid,192.168.0.9,http,10,588,5,282,5,306,183.30,198.90
230082.871245,5.7761,24.107.219.145,jomamqmonitor,192.168.0.9,https,39,17794,18,5364,21,12430,7429.18,17215.65
230083.369597,19.4839,24.107.219.145,cds,192.168.0.9,https,11,642,6,336,5,306,137.96,125.64
230195.513576,878.6959,24.107.219.145,4144,192.168.0.9,http,284338,268131095,83721,4524895,200617,263606200,41196.46,2399976.48
231131.280333,67.5972,24.107.219.145,4241,192.168.0.9,http,17,4279,8,1636,9,2643,193.62,312.79
231133.673236,6.4905,24.107.219.145,4244,192.168.0.9,https,31,12392,14,3664,17,8728,4516.16,10757.92
236753.651549,0.1219,66.232.160.65,52837,192.168.0.9,https,14,5950,7,598,7,5352,39256.55,351339.60
237783.179220,0.2266,216.139.253.36,60979,192.168.0.9,https,14,5950,7,598,7,5352,21111.63,188945.52
246375.538547,62.6528,146.163.144.147,4435,192.168.0.9,http,18,5810,9,2591,9,3219,330.84,411.03
246375.790255,11.0829,146.163.144.147,4436,192.168.0.9,http,23,16233,10,1801,13,14432,1300.03,10417.53
246386.872605,0.2702,146.163.144.147,4439,192.168.0.9,https,21,9154,9,1809,12,7345,53552.60,217437.16
246387.134386,0.0091,146.163.144.147,4440,192.168.0.9,https,15,3337,7,1312,8,2025,1148358.86,1772428.88
246387.145302,0.0083,146.163.144.147,4441,192.168.0.9,https,15,3818,7,1311,8,2507,1270194.99,2428969.36
246387.163660,0.0113,146.163.144.147,saris,192.168.0.9,https,14,2139,7,1113,7,1026,788173.85,726564.57
246396.291179,1.4865,146.163.144.147,pharos,192.168.0.9,https,16,2973,8,2072,8,901,11150.93,4848.93
253894.129455,0.4968,128.2.212.179,50693,192.168.0.9,https,16,7542,8,676,8,6866,10884.75,110554.26
256681.797231,60.4240,146.163.44.188,49905,192.168.0.9,http,21,7529,10,2738,11,4791,362.51,634.32
256682.086063,60.0341,146.163.44.188,49907,192.168.0.9,http,22,14684,9,1046,13,13638,139.39,1817.37
