Address A,Port A,Address B,Port B,Packets,Bytes,Packets A->B,Bytes A->B,Packets A<-B,Bytes A<-B,Rel Start,Duration,bps A->B,bps A<-B
67.218.116.163,38589,192.168.0.9,http,10,1174,5,540,5,634,134371.17514400,0.1322,32674.30,38362.05
87.250.231.32,64977,192.168.0.9,http,31,2411,16,1090,15,1321,142164.81139700,121.1380,71.98,87.24
66.232.160.65,50178,192.168.0.9,https,15,6016,8,664,7,5352,143307.62624000,0.1767,30056.64,242263.75
217.21.232.179,22639,192.168.0.9,https,4,280,3,206,1,74,143921.38418000,0.1309,12587.36,N/A
216.139.253.36,63478,192.168.0.9,https,14,5950,7,598,7,5352,144529.05016900,0.2062,23195.71,207597.76
217.21.232.179,54156,192.168.0.9,https,20,6621,11,1041,9,5580,145317.24456400,4.6775,1780.45,9543.65
65.55.207.140,4441,192.168.0.9,http,7,945,4,440,3,505,145722.90042900,0.1668,21097.68,24214.38
207.46.13.87,30247,192.168.0.9,http,7,945,4,440,3,505,147365.31315900,0.1365,25786.03,29595.34
99.152.38.229,lupa,192.168.0.9,http,9,5031,4,397,5,4634,156131.34408300,0.2383,13325.17,155538.59
99.152.38.229,mpc-lifenet,192.168.0.9,http,9,5031,4,397,5,4634,156131.58592900,0.3729,8515.98,99403.13
99.152.38.229,kazaa,192.168.0.9,http,12,7822,5,648,7,7174,156131.96206300,0.1381,37542.91,415637.09
99.152.38.229,scanstat-1,192.168.0.9,http,808790,796413371,291003,16637554,517787,779775817,156132.10444400,10017.8261,13286.36,622710.60
128.2.212.179,53665,192.168.0.9,https,16,7542,8,676,8,6866,160359.84103900,0.3929,13765.33,139811.80
208.80.193.34,52759,192.168.0.9,http,12,2569,6,613,6,1956,163603.20184100,0.3854,12725.99,40606.92
146.163.183.58,4217,192.168.0.9,http,19,6580,9,2427,10,4153,167014.75625500,65.8970,294.64,504.18
146.163.183.58,4218,192.168.0.9,http,25,15541,11,1935,14,13606,167015.07013400,65.5832,236.04,1659.69
146.163.183.58,4222,192.168.0.9,https,29,11582,13,2600,16,8982,167017.29547800,63.3575,328.30,1134.14
146.163.183.58,4223,192.168.0.9,https,20,5741,10,3083,10,2658,167017.56846400,78.0846,315.86,272.32
146.163.183.58,xtell,192.168.0.9,https,16,4363,8,1738,8,2625,167017.58048800,63.0726,220.44,332.95
146.163.150.129,60439,192.168.0.9,http,14,3139,7,1038,7,2101,168278.96726200,71.4750,116.18,235.16
146.163.150.129,60440,192.168.0.9,http,15,4221,8,1711,7,2510,168279.23045100,71.2118,192.22,281.98
146.163.150.129,60441,192.168.0.9,http,25,14520,12,1392,13,13128,168279.23123200,71.2110,156.38,1474.83
146.163.150.129,60457,192.168.0.9,https,34,12547,17,3472,17,9075,168282.15086300,68.2910,406.73,1063.10
146.163.150.129,60460,192.168.0.9,https,18,2934,10,2018,8,916,168282.42571100,68.0163,237.35,107.74
65.55.106.231,softaudit,192.168.0.9,http,7,945,4,440,3,505,172700.21465700,0.1734,20295.20,23293.36
222.191.251.223,menandmice-lpm,192.168.0.9,http,15,2428,8,490,7,1938,183084.20569700,1.1465,3419.03,13522.61
