11:07,TCP,809
11:08,TCP,1973
11:09,TCP,2393
11:10,TCP,1928
11:11,TCP,1983
11:12,TCP,1903
11:13,TCP,1945
11:14,TCP,2129
11:15,TCP,2047
11:16,TCP,2202
11:17,TCP,1416
11:18,TCP,1
13:51,TCP,6
14:12,TCP,19
14:13,TCP,26
14:14,TCP,12
14:16,TCP,8
14:17,TCP,3
14:32,TCP,24
14:33,TCP,30
14:34,TCP,11
15:02,TCP,4
16:56,TCP,7
17:27,TCP,1
17:28,TCP,2
17:38,TCP,44
17:39,TCP,11
17:40,TCP,3
17:47,TCP,10
18:36,TCP,29
18:37,TCP,9
18:40,TCP,38
18:41,TCP,6
18:42,TCP,11551
18:43,TCP,14013
18:44,TCP,14120
18:45,TCP,14323
18:46,TCP,14210
18:47,TCP,14229
18:48,TCP,14129
18:49,TCP,14220
18:50,TCP,14315
18:51,TCP,14261
18:52,TCP,14073
18:53,TCP,14212
18:54,TCP,14036
18:55,TCP,13957
18:56,TCP,14270
18:57,TCP,14184
18:58,TCP,14249
18:59,TCP,14171
19:00,TCP,13078
19:01,TCP,7483
19:02,TCP,7486
19:03,TCP,7551
19:04,TCP,7491
19:05,TCP,7437
19:06,TCP,7241
19:07,TCP,7418
19:08,TCP,7523
19:09,TCP,7216
19:10,TCP,7439
19:11,TCP,7376
19:12,TCP,7230
19:13,TCP,7443
19:14,TCP,7310
19:15,TCP,7123
19:16,TCP,6649
19:17,TCP,7404
19:18,TCP,7455
19:19,TCP,7135
19:20,TCP,7449
19:21,TCP,10896
19:22,TCP,14301
19:23,TCP,13940
19:24,TCP,14280
19:25,TCP,14240
19:26,TCP,14219
19:27,TCP,14157
19:28,TCP,13801
19:29,TCP,13796
19:30,TCP,13420
19:31,TCP,13860
19:32,TCP,13883
19:33,TCP,13966
19:34,TCP,13790
19:35,TCP,13845
19:36,TCP,13755
19:37,TCP,14051
19:38,TCP,13881
19:39,TCP,14052
19:40,TCP,13826
19:41,TCP,13963
19:42,TCP,13362
19:43,TCP,13391
19:44,TCP,13064
19:45,TCP,13394
19:46,TCP,13285
19:47,TCP,13867
19:48,TCP,14144
19:49,TCP,13823
19:50,TCP,13731
19:51,TCP,14171
19:52,TCP,14217
19:53,TCP,12758
19:54,TCP,13186
19:55,TCP,13113
19:56,TCP,13904
19:57,TCP,13727
19:58,TCP,14150
19:59,TCP,13204
20:00,TCP,13789
20:01,TCP,13130
20:02,TCP,13412
20:03,TCP,11793
20:04,TCP,13973
20:05,TCP,13994
20:06,TCP,13554
20:07,TCP,13435
20:08,TCP,14141
20:09,TCP,13971
20:10,TCP,13771
20:11,TCP,13919
20:12,TCP,13806
20:13,TCP,14222
20:14,TCP,14240
20:15,TCP,4303
20:16,TCP,1
20:58,TCP,1
21:38,TCP,7
22:04,TCP,6
23:42,TCP,1
23:51,TCP,5
23:52,TCP,6
23:53,TCP,4
00:19,TCP,49
00:20,TCP,10
01:31,TCP,4
01:32,TCP,2
01:54,TCP,2
01:59,TCP,1
04:01,TCP,1
04:58,TCP,7
05:06,TCP,6
06:49,TCP,1
07:00,TCP,7
07:03,TCP,1
07:09,TCP,3
07:10,TCP,4
09:12,TCP,5
09:39,TCP,7
10:04,TCP,6
13:16,TCP,1
13:42,TCP,4
15:16,TCP,1
15:50,TCP,6
15:51,TCP,1
15:52,TCP,1
15:54,TCP,14
16:02,TCP,11280
16:12,TCP,5
16:15,TCP,39
16:16,TCP,4
16:18,TCP,6985
16:19,TCP,12695
16:20,TCP,13220
16:21,TCP,12927
16:22,TCP,12415
16:23,TCP,10382
16:24,TCP,6939
16:25,TCP,7015
16:26,TCP,7208
16:27,TCP,10619
16:28,TCP,12921
16:29,TCP,12446
16:30,TCP,12522
16:31,TCP,11747
16:32,TCP,13222
16:33,TCP,13025
16:34,TCP,12356
16:35,TCP,10832
16:36,TCP,12477
16:37,TCP,12380
16:38,TCP,13163
16:39,TCP,12918
16:40,TCP,12617
16:41,TCP,13230
16:42,TCP,12682
16:43,TCP,12955
16:44,TCP,12271
16:45,TCP,11553
16:46,TCP,12394
16:47,TCP,11730
16:48,TCP,11053
16:49,TCP,9173
16:50,TCP,11093
16:51,TCP,10821
16:52,TCP,9861
16:53,TCP,11873
16:54,TCP,10890
16:55,TCP,12368
